Release date,Product,Impact,Max Severity,Article,Article (Link),Supercedence,Download,Download (Link),Build Number,Details,Details (Link),CWE
"Dec 13, 2016",Windows 10 Version 1607 for x64-based Systems,Remote Code Execution,Critical,3206632,https://support.microsoft.com/en-us/kb/3206632,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3206632,,CVE-2016-7273,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7273,[]
"Dec 13, 2016",Windows 10 Version 1607 for 32-bit Systems,Remote Code Execution,Critical,3206632,http://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3206632,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3206632,,CVE-2016-7273,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7273,[]
"Dec 13, 2016",Windows 10 Version 1511 for x64-based Systems,Remote Code Execution,Critical,3205386,http://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205386,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205386,,CVE-2016-7273,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7273,[]
"Dec 13, 2016",Windows 10 Version 1511 for 32-bit Systems,Remote Code Execution,Critical,3205386,http://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205386,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205386,,CVE-2016-7273,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7273,[]
"Dec 13, 2016",Windows 10 for x64-based Systems,Remote Code Execution,Critical,3205383,http://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205383,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205383,,CVE-2016-7273,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7273,[]
"Dec 13, 2016",Windows 10 for 32-bit Systems,Remote Code Execution,Critical,3205383,https://support.microsoft.com/en-us/kb/3205383,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205383,,CVE-2016-7273,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7273,[]
"Dec 13, 2016",Windows 10 Version 1607 for x64-based Systems,Remote Code Execution,Critical,3206632,https://support.microsoft.com/en-us/kb/3206632,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3206632,,CVE-2016-7272,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7272,[]
"Dec 13, 2016",Windows 10 Version 1607 for 32-bit Systems,Remote Code Execution,Critical,3206632,http://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3206632,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3206632,,CVE-2016-7272,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7272,[]
"Dec 13, 2016",Windows 10 Version 1511 for x64-based Systems,Remote Code Execution,Critical,3205386,http://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205386,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205386,,CVE-2016-7272,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7272,[]
"Dec 13, 2016",Windows 10 Version 1511 for 32-bit Systems,Remote Code Execution,Critical,3205386,http://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205386,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205386,,CVE-2016-7272,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7272,[]
"Dec 13, 2016",Windows 10 for x64-based Systems,Remote Code Execution,Critical,3205383,http://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205383,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205383,,CVE-2016-7272,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7272,[]
"Dec 13, 2016",Windows 10 for 32-bit Systems,Remote Code Execution,Critical,3205383,https://support.microsoft.com/en-us/kb/3205383,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205383,,CVE-2016-7272,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7272,[]
"Dec 13, 2016",Windows 10 Version 1607 for x64-based Systems,Remote Code Execution,Critical,3206632,https://support.microsoft.com/en-us/kb/3206632,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3206632,,CVE-2016-7274,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7274,[]
"Dec 13, 2016",Windows 10 Version 1607 for 32-bit Systems,Remote Code Execution,Critical,3206632,http://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3206632,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3206632,,CVE-2016-7274,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7274,[]
"Dec 13, 2016",Windows 10 Version 1511 for x64-based Systems,Remote Code Execution,Critical,3205386,http://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205386,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB3205386,,CVE-2016-7274,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7274,[]
