Release date,Product,Impact,Max Severity,Article,Article (Link),Supercedence,Download,Download (Link),Build Number,Details,Details (Link),CWE
"Dec 11, 2018",Windows 10 Version 1809 for ARM64-based Systems,Denial of Service,Important,4471332,https://support.microsoft.com/help/4471332,4467708,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4471332,,CVE-2018-8649,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2018-8649,[]
"Dec 11, 2018",Windows 10 Version 1809 for x64-based Systems,Denial of Service,Important,4471332,https://support.microsoft.com/help/4471332,4467708,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4471332,,CVE-2018-8649,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2018-8649,[]
"Dec 11, 2018",Windows 10 Version 1809 for 32-bit Systems,Denial of Service,Important,4471332,https://support.microsoft.com/help/4471332,4467708,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4471332,,CVE-2018-8649,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2018-8649,[]
"Dec 11, 2018",Windows 10 Version 1607 for x64-based Systems,Elevation of Privilege,Important,4471321,https://support.microsoft.com/help/4471321,4467691,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4471321,,CVE-2018-8641,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2018-8641,[]
"Dec 11, 2018",Windows 10 Version 1607 for 32-bit Systems,Elevation of Privilege,Important,4471321,https://support.microsoft.com/help/4471321,4467691,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4471321,,CVE-2018-8641,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2018-8641,[]
"Dec 11, 2018",Windows 10 for x64-based Systems,Elevation of Privilege,Important,4471323,https://support.microsoft.com/help/4471323,4467680,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4471323,,CVE-2018-8641,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2018-8641,[]
"Dec 11, 2018",Windows 10 for 32-bit Systems,Elevation of Privilege,Important,4471323,https://support.microsoft.com/help/4471323,4467680,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4471323,,CVE-2018-8641,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2018-8641,[]
"Dec 11, 2018",Windows 10 Version 1709 for ARM64-based Systems,Elevation of Privilege,Important,4471329,https://support.microsoft.com/help/4471329,4467686,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4471329,,CVE-2018-8641,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2018-8641,[]
"Dec 11, 2018",Windows 10 Version 1709 for x64-based Systems,Elevation of Privilege,Important,4471329,https://support.microsoft.com/help/4471329,4467686,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4471329,,CVE-2018-8641,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2018-8641,[]
"Dec 11, 2018",Windows 10 Version 1709 for 32-bit Systems,Elevation of Privilege,Important,4471329,https://support.microsoft.com/help/4471329,4467686,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4471329,,CVE-2018-8641,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2018-8641,[]
