Release date,Product,Impact,Max Severity,Article,Article (Link),Supercedence,Download,Download (Link),Build Number,Details,Details (Link),CWE
"Dec 12, 2017",Windows 10 Version 1709 for x64-based Systems,Information Disclosure,Important,4103727,https://support.microsoft.com/help/4103727,4093112,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4103727,,CVE-2017-11927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11927,[]
"Dec 12, 2017",Windows 10 Version 1709 for 32-bit Systems,Information Disclosure,Important,4103727,https://support.microsoft.com/help/4103727,4093112,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4103727,,CVE-2017-11927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11927,[]
"Dec 12, 2017",Windows 10 Version 1607 for x64-based Systems,Information Disclosure,Important,4103723,https://support.microsoft.com/help/4103723,4093119,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4103723,,CVE-2017-11927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11927,[]
"Dec 12, 2017",Windows 10 Version 1607 for 32-bit Systems,Information Disclosure,Important,4103723,https://support.microsoft.com/help/4103723,4093119,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4103723,,CVE-2017-11927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11927,[]
"Dec 12, 2017",Windows 10 Version 1511 for x64-based Systems,Information Disclosure,Important,4053578,https://support.microsoft.com/help/4053578,4048952,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053578,,CVE-2017-11927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11927,[]
"Dec 12, 2017",Windows 10 Version 1511 for 32-bit Systems,Information Disclosure,Important,4053578,https://support.microsoft.com/help/4053578,4048952,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053578,,CVE-2017-11927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11927,[]
"Dec 12, 2017",Windows 10 for x64-based Systems,Information Disclosure,Important,4103716,https://support.microsoft.com/help/4103716,4093111,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4103716,,CVE-2017-11927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11927,[]
"Dec 12, 2017",Windows 10 for 32-bit Systems,Information Disclosure,Important,4103716,https://support.microsoft.com/help/4103716,4093111,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4103716,,CVE-2017-11927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11927,[]
"Dec 12, 2017",Windows 10 Version 1703 for x64-based Systems,Information Disclosure,Important,4103731,https://support.microsoft.com/help/4103731,4093107,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4103731,,CVE-2017-11927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11927,[]
"Dec 12, 2017",Windows 10 Version 1703 for 32-bit Systems,Information Disclosure,Important,4103731,https://support.microsoft.com/help/4103731,4093107,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4103731,,CVE-2017-11927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11927,[]
"Dec 12, 2017",Windows 10 Version 1607 for x64-based Systems,Security Feature Bypass,Important,4053579,https://support.microsoft.com/help/4053579,4048953,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053579,,CVE-2017-11899,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11899,[]
"Dec 12, 2017",Windows 10 Version 1607 for 32-bit Systems,Security Feature Bypass,Important,4053579,https://support.microsoft.com/help/4053579,4048953,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053579,,CVE-2017-11899,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11899,[]
"Dec 12, 2017",Windows 10 Version 1511 for x64-based Systems,Security Feature Bypass,Important,4053578,https://support.microsoft.com/help/4053578,4048952,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053578,,CVE-2017-11899,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11899,[]
"Dec 12, 2017",Windows 10 Version 1511 for 32-bit Systems,Security Feature Bypass,Important,4053578,https://support.microsoft.com/help/4053578,4048952,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053578,,CVE-2017-11899,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11899,[]
"Dec 12, 2017",Windows 10 for x64-based Systems,Security Feature Bypass,Important,4053581,https://support.microsoft.com/help/4053581,4048956,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053581,,CVE-2017-11899,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11899,[]
"Dec 12, 2017",Windows 10 for 32-bit Systems,Security Feature Bypass,Important,4053581,https://support.microsoft.com/help/4053581,4048956,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053581,,CVE-2017-11899,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11899,[]
"Dec 12, 2017",Windows 10 Version 1703 for x64-based Systems,Security Feature Bypass,Important,4053580,https://support.microsoft.com/help/4053580,4048954,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053580,,CVE-2017-11899,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11899,[]
"Dec 12, 2017",Windows 10 Version 1703 for 32-bit Systems,Security Feature Bypass,Important,4053580,https://support.microsoft.com/help/4053580,4048954,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053580,,CVE-2017-11899,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11899,[]
"Dec 12, 2017",Windows 10 Version 1709 for x64-based Systems,Security Feature Bypass,Important,4054517,https://support.microsoft.com/help/4054517,4048955,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4054517,,CVE-2017-11899,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11899,[]
"Dec 12, 2017",Windows 10 Version 1709 for 32-bit Systems,Security Feature Bypass,Important,4054517,https://support.microsoft.com/help/4054517,4048955,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4054517,,CVE-2017-11899,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11899,[]
"Dec 12, 2017",Windows 10 Version 1709 for x64-based Systems,Remote Code Execution,Important,4054517,https://support.microsoft.com/help/4054517,4048955,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4054517,,CVE-2017-11885,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11885,[]
"Dec 12, 2017",Windows 10 Version 1709 for 32-bit Systems,Remote Code Execution,Important,4054517,https://support.microsoft.com/help/4054517,4048955,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4054517,,CVE-2017-11885,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11885,[]
"Dec 12, 2017",Windows 10 Version 1607 for x64-based Systems,Remote Code Execution,Important,4053579,https://support.microsoft.com/help/4053579,4048953,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053579,,CVE-2017-11885,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11885,[]
"Dec 12, 2017",Windows 10 Version 1607 for 32-bit Systems,Remote Code Execution,Important,4053579,https://support.microsoft.com/help/4053579,4048953,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053579,,CVE-2017-11885,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11885,[]
"Dec 12, 2017",Windows 10 Version 1511 for x64-based Systems,Remote Code Execution,Important,4053578,https://support.microsoft.com/help/4053578,4048952,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053578,,CVE-2017-11885,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11885,[]
"Dec 12, 2017",Windows 10 Version 1511 for 32-bit Systems,Remote Code Execution,Important,4053578,https://support.microsoft.com/help/4053578,4048952,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053578,,CVE-2017-11885,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11885,[]
"Dec 12, 2017",Windows 10 for x64-based Systems,Remote Code Execution,Important,4053581,https://support.microsoft.com/help/4053581,4048956,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053581,,CVE-2017-11885,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11885,[]
"Dec 12, 2017",Windows 10 for 32-bit Systems,Remote Code Execution,Important,4053581,https://support.microsoft.com/help/4053581,4048956,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053581,,CVE-2017-11885,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11885,[]
"Dec 12, 2017",Windows 10 Version 1703 for x64-based Systems,Remote Code Execution,Important,4053580,https://support.microsoft.com/help/4053580,4048954,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053580,,CVE-2017-11885,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11885,[]
"Dec 12, 2017",Windows 10 Version 1703 for 32-bit Systems,Remote Code Execution,Important,4053580,https://support.microsoft.com/help/4053580,4048954,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4053580,,CVE-2017-11885,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11885,[]
"Nov 14, 2017",Windows 10 Version 1709 for x64-based Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11880,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11880,[]
"Nov 14, 2017",Windows 10 Version 1709 for 32-bit Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11880,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11880,[]
"Nov 14, 2017",Windows 10 Version 1709 for x64-based Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11768,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11768,[]
"Nov 14, 2017",Windows 10 Version 1709 for 32-bit Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11768,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11768,[]
"Nov 14, 2017",Windows 10 Version 1607 for x64-based Systems,Information Disclosure,Important,4048953,https://support.microsoft.com/help/4048953,4041691,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048953,,CVE-2017-11880,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11880,[]
"Nov 14, 2017",Windows 10 Version 1607 for 32-bit Systems,Information Disclosure,Important,4048953,https://support.microsoft.com/help/4048953,4041691,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048953,,CVE-2017-11880,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11880,[]
"Nov 14, 2017",Windows 10 Version 1511 for x64-based Systems,Information Disclosure,Important,4048952,https://support.microsoft.com/help/4048952,4041689,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048952,,CVE-2017-11880,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11880,[]
"Nov 14, 2017",Windows 10 Version 1511 for 32-bit Systems,Information Disclosure,Important,4048952,https://support.microsoft.com/help/4048952,4041689,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048952,,CVE-2017-11880,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11880,[]
"Nov 14, 2017",Windows 10 for x64-based Systems,Information Disclosure,Important,4048956,https://support.microsoft.com/help/4048956,4042895,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048956,,CVE-2017-11880,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11880,[]
"Nov 14, 2017",Windows 10 for 32-bit Systems,Information Disclosure,Important,4048956,https://support.microsoft.com/help/4048956,4042895,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048956,,CVE-2017-11880,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11880,[]
"Nov 14, 2017",Windows 10 Version 1703 for x64-based Systems,Information Disclosure,Important,4048954,https://support.microsoft.com/help/4048954,4041676,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048954,,CVE-2017-11880,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11880,[]
"Nov 14, 2017",Windows 10 Version 1703 for 32-bit Systems,Information Disclosure,Important,4048954,https://support.microsoft.com/help/4048954,4041676,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048954,,CVE-2017-11880,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11880,[]
"Nov 14, 2017",Windows 10 Version 1709 for x64-based Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11853,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11853,[]
"Nov 14, 2017",Windows 10 Version 1709 for 32-bit Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11853,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11853,[]
"Nov 14, 2017",Windows 10 Version 1709 for x64-based Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11849,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11849,[]
"Nov 14, 2017",Windows 10 Version 1709 for 32-bit Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11849,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11849,[]
"Nov 14, 2017",Windows 10 Version 1709 for x64-based Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11842,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11842,[]
"Nov 14, 2017",Windows 10 Version 1709 for 32-bit Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11842,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11842,[]
"Nov 14, 2017",Windows 10 Version 1709 for x64-based Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11851,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11851,[]
"Nov 14, 2017",Windows 10 Version 1709 for 32-bit Systems,Information Disclosure,Important,4048955,https://support.microsoft.com/help/4048955,4042198,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048955,,CVE-2017-11851,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11851,[]
"Nov 14, 2017",Windows 10 Version 1607 for x64-based Systems,Information Disclosure,Important,4048953,https://support.microsoft.com/help/4048953,4041691,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048953,,CVE-2017-11853,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11853,[]
"Nov 14, 2017",Windows 10 Version 1607 for 32-bit Systems,Information Disclosure,Important,4048953,https://support.microsoft.com/help/4048953,4041691,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048953,,CVE-2017-11853,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11853,[]
"Nov 14, 2017",Windows 10 Version 1511 for x64-based Systems,Information Disclosure,Important,4048952,https://support.microsoft.com/help/4048952,4041689,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048952,,CVE-2017-11853,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11853,[]
"Nov 14, 2017",Windows 10 Version 1511 for 32-bit Systems,Information Disclosure,Important,4048952,https://support.microsoft.com/help/4048952,4041689,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048952,,CVE-2017-11853,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11853,[]
"Nov 14, 2017",Windows 10 for x64-based Systems,Information Disclosure,Important,4048956,https://support.microsoft.com/help/4048956,4042895,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4048956,,CVE-2017-11853,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-11853,[]
